tests/in/sco5-shared-installed 5.038727197772571 2
otf 6.38652708440194 4
cnf 4.258566159347842 32
tests/in/test17 1.584962500721156 2
tests/in/foo 3.6219280948873624 2
php 5.579756236802026 1
ec 3.8875945247920383 20
tests/in/freebsd-tick-processor 4.983865681517841 2
crl 5.797613468380018 2
tests/in/builtin 3.879664004902594 2
odp 7.9888456236429946 1
c 4.805543308902184 21
tests/in/CHANGES 4.700837512029387 2
jar 7.875903832672096 1
JPG 7.921687053469685 2
PDF 6.715414991609433 3
APACHE2 4.88276577636081 2
xlsx 7.37348966075668 7
tests/in/test04 2.321928094887362 2
tests/in/description 4.6308621029759305 2
html 4.998352247106325 20
css 4.099785015460262 1139
torrent 7.638610049402631 13
tests/in/OWNERS 4.190400100687452 2
bz2 7.982002304118372 2
isolate 4.753839753456402 32
ini 4.566524371973904 2
asm 5.2172818243169585 2
0-1 5.58607271075834 3
tests/in/MAINTAINERS 4.536774269767784 2
asy 5.074212307311108 1
cpp 4.93042552406839 648
txt 4.529550033679947 5239
pub 6.346271174398342 19
py 4.945144671659209 36
tests/in/add-braces 4.412723038677479 2
tests/in/c_hash 4.609208916892469 2
s 4.691693107317574 4
tests/in/json-ref 4.691796341461557 2
dll 6.517204166924504 2
tests/in/partenaires 4.624786751769762 1
tests/in/test19 2.584962500721156 2
bmp 4.809660962767501 152
tests/in/test01 3.169925001442312 2
sha1 3.8402393165094066 4
numbers 7.9572394013354595 1
doc 3.4467052825286237 1
pm 4.921571366392376 2
bat 4.654684645577124 30
tests/in/mac-nm 4.769280341914856 2
tests/in/M%c3%a9thodologie 7.97541548572015 1
manifest 5.206197182954127 2
tests/in/test24 2.321928094887362 2
tgz 7.101715045021921 4
ss 5.7824003996336515 4
gz 7.986225612279448 4
yml 5.28096044783525 2
png 7.3621545844017415 1383
tests/in/interfaces 4.486161234741216 2
gcc 4.053936708066799 2
tests/in/globalconfig 3.7794705707972507 2
zip 7.903382037504981 184
tests/in/uninstaller_HL1110 5.095713742784423 1
json 3.9906125774348045 72
py# 4.683155464581987 1
xcf 6.040247278263307 2
ods 7.747137891885654 4
h 4.917094545740504 116
wav 4.7187362427780295 3
status 4.756909106143976 4
tests/in/fipsld 5.155935171274041 2
tests/in/DS-TA-2014(1) 6.821510082708325 1
tests/in/mac-tick-processor 4.845695466190124 2
srt 5.072508407534224 57
deb 7.985462399192129 7
aif 6.403558342176652 3
mid 5.132055805881226 1
tests/in/DS-TA-2014 6.821510082708325 1
GIF 7.545053862979153 11
circ 4.788728676375553 1
tests/in/DS-TA-2014(2) 6.779444079471823 1
gc-state 4.3465619730146114 2
plist 5.493816393304542 4
tests/in/test20 1.0 2
pk 3.0 2
tests/in/malformed 2.845350936622437 2
cares 4.588000100046674 2
node 3.0500572894317184 6
opt 4.13179694293774 16
flp 3.7946016351144696 219
pl 5.195370745464686 26
tests/in/ACKNOWLEDGMENTS 4.441346191395651 2
ttf 6.150617224346551 10
save 3.572623663895163 1
reg 4.073941645576648 8
S 4.917934028655444 2
1 4.62201667205937 22
z 1.057775555158681 2
gif 7.933288437918695 1
tests/in/npmrc 4.061482186720775 2
TXT 4.739096809121407 2
lnx 4.616067263026572 2
sql 5.422835624780344 3
tests/in/configure 4.991124099012821 2
tests/in/Makefile 4.075101293381129 2
pod 5.141235429452789 50
def 4.713542107493896 2
svg 4.458260670955026 14
pem 5.840275503736784 86
tests/in/Activer 7.99047988656105 1
tests/in/test09 2.5 2
jpg 7.665663291074581 178
tests/in/test08 2.6031579868726 2
doxy 4.944462653836124 2
tests/in/c_name 4.587455114929241 2
tests/in/test11 2.321928094887362 2
tests/in/npm 5.281915277839038 2
clz 7.054528356622311 14723
tests/in/testgen 4.940609886056736 2
tests/in/fipscc 4.829680997029874 2
out 4.527503680753463 102
srl 2.1102099181100313 12
cc 4.977466893043232 48
tests/in/message 5.157334591101961 2
valid 5.886452728962943 2
tests/in/README 1.5 2
ors 5.859528200266593 18
log 4.886622137006258 2
tests/in/test02 3.2359263506290326 2
mar 5.385125658744992 2
tests/in/uuid 4.961172526333324 2
settings 5.257059128630641 2
reg2 4.083933199757157 8
fon 4.504152917039952 2
map 5.0630114539484 6
tests/in/calendar 4.3925645717121125 2
tests/in/serial 1.9219280948873623 2
cmd 4.862364000114819 4
tests/in/svr5-shared-installed 5.041902128366574 2
b 3.3052909555306704 1
docx 7.688502008851294 63
pbfilespec 5.058818110689678 2
gyp 4.309462925931904 28
xml 4.550450766421788 4
input 4.66655747246076 4
tests/in/test23 3.321928094887362 2
pdf 7.842737225833844 167
md 4.761511847344569 54
el 4.697273204213031 2
tests/in/echo 4.1162646156680225 2
rar 7.972403729147963 12
attr 3.7489948035250964 2
tests/in/chromium_revision 1.8423709931771084 2
world 3.6053885422075345 2
tests/in/node-gyp 4.756211835185961 2
tests/in/f 4.201231789474708 2
com 5.074628433133051 10
tests/in/test14 2.75 2
htm 5.346585963884979 1
sh 4.815518260750537 44
tests/in/GitConfigure 5.170052293334781 2
js 4.792395530012366 2836
only-summary 4.180518888091631 2
tests/in/identity 4.663943466586908 2
in 5.192833943841638 4
tests/in/userconfig 5.082371157295154 2
exe 6.899354916809766 9
au3 5.371178871128924 1179
tests/in/CONTRIBUTORS 4.819899855849118 2
speech 5.066285462712019 2
asc 4.799998849044385 1
jpeg 7.610582329443712 2
